yrkeskode;yrke;hk_prob;hk_antall;antall;rel_prob
7231;Bilmekanikere;1.9316206297083255e-4;1;5177;8.453085376162299e-4
7232;Mekanikere innen flytekniske fag;0;0;44;0
7233;Anleggsmaskin- og industrimekanikere;3.4916201117318437e-4;1;2864;8.453085376162299e-4
7234;Sykkelreparatører mv.;0;0;49;0
7311;Presisjonsinstrumentmakere og -reparatører;0;0;36;0
7312;Musikkinstrumentmakere og -stemmere;0;0;5;0
7313;Gull- og sølvsmeder, gravører mv.;0;0;17;0
7314;Keramikere mv.;0;0;2;0
7315;Glasshåndverkere;0;0;7;0
7316;Dekormalere mv;0;0;1;0
7317;Kunsthåndverkere i tre mv.;0;0;1;0
7318;Vevere, strikkere mv. (innen husflidsproduksjon);0.05263157894736842;1;19;8.453085376162299e-4
7321;Førtrykkere;0;0;65;0
7322;Trykkere;0;0;41;0
7411;Elektrikere;8.257638315441783e-4;4;4844;0.0033812341504649195
7412;Automatikere;9.165902841429881e-4;1;1091;8.453085376162299e-4
7413;Energimontører;0;0;657;0
7421;Serviceelektronikere;0;0;85;0
7422;Tele- og IKT-installatører;0;0;448;0
7511;Slaktere, fiskehandlere mv;0;0;164;0
7512;Bakere, konditorer mv.;0;0;340;0
7513;Ystere mv. (gårdsproduksjon);0;0;1;0
7514;Syltere, saftere mv. (gårdsproduksjon);0;0;2;0
7515;Prøvesmakere og kvalitetsbedømmere av mat og drikke;0;0;5;0
7522;Møbelsnekkere;0;0;181;0
7531;Skreddere, buntmakere mv.;0;0;41;0
7532;Gradører;0;0;3;0
7534;Møbeltapetserere mv.;0;0;7;0
7535;Skinnberedere og garvere;0;0;6;0
7536;Skomakere;0;0;6;0
7541;Yrkesdykkere;0;0;34;0
7542;Skytebaser og sprengningsarbeidere;0;0;152;0
7543;Produkttestere (ikke matprodukter);0;0;5;0
7544;Desinfeksjonsarbeidere og skadedyrbekjempere;0;0;67;0
7549;Andre håndverkere;0;0;92;0
8111;Bergfagarbeidere;0;0;37;0
8112;Prosessoperatører (oppredning);0;0;16;0
8113;Operatører innen boring mv.;0;0;187;0
8114;Operatører innen produksjon av betong mv;0;0;186;0
8121;Operatører innen metallurgiske prosessfag;0;0;204;0
8122;Operatører innen metalloverflatebehandling;0;0;3;0
8131;Operatører innen kjemisk industri;0;0;296;0
8132;Operatører innen produksjon av fotofilm og -papir mv.;0;0;9;0
8141;Operatører innen produksjon av gummiprodukter;0;0;30;0
8142;Operatører innen produksjon av plastprodukter;0;0;85;0
8143;Operatører innen produksjon av papirprodukter;0;0;1;0
8151;Spinne- og nøstemaskinoperatører;0;0;2;0
8152;Operatører innen tekstilproduksjon mv.;0;0;17;0
8153;Industrisyere;0;0;29;0
8154;Operatører innen tekstilbearbeiding;0;0;6;0
8157;Renseri- og vaskerimaskinoperatører;0;0;223;0
8160;Operatører innen næringsmiddelproduksjon;0;0;629;0
8171;Operatører innen treforedling;0;0;70;0
8172;Operatører innen trelastproduksjon;0;0;117;0
8181;Operatører innen glass- og keramisk produksjon;0;0;42;0
8182;Fyrkjele- og turbinoperatør;0;0;108;0
8183;Pakke-, tappe- og etikettmaskinoperatør;0;0;46;0
8189;Operatører av andre stasjonære maskiner;0;0;5;0
8211;Montører av mekaniske produkter;0;0;113;0
8212;Montører av elektriske og elektroniske produkter;0;0;181;0
8219;Andre montører;0;0;44;0
8311;Lokomotiv- og T-baneførere;0;0;79;0
8312;Skiftekonduktører mv.;0;0;3;0
8322;Bil-, drosje- og varebilførere;0;0;1371;0
8331;Bussjåfører og trikkeførere;0;0;512;0
8332;Lastebil- og trailersjåfører;0;0;3194;0
8341;Jordbruks- og skogbruksmaskinførere;0;0;25;0
8341;Jordbruks- skogbruksmaskinførere;0;0;13;0
8342;Anleggsmaskinførere;4.1288191577208916e-4;1;2422;8.453085376162299e-4
8343;Kran- og heisførere;0.002777777777777778;1;360;8.453085376162299e-4
8344;Truckførere;0;0;620;0
